episode_idx,state,t_step,theta0,tilted,speed,V_hat,lg_norm,m_c,m_d,cont_infeasible,disc_improvable,empty_flag
1393,t0,0,2.6354,1,0.6442,0.46,0.46979,44.6381,-0.07861,1,1,1
1397,t0,0,1.3403,0,1.1006,0.9219,2.79024,91.41625,-0.03112,1,1,1
1412,t0,0,1.4994,0,1.3733,0.8501,2.14031,84.53112,-0.02199,1,1,1
1431,t0,0,3.0404,1,1.3621,0.1632,0.39502,17.53905,0.03419,1,0,1
1437,t0,0,2.0614,1,1.4617,0.4877,0.83509,51.66959,0.19581,1,0,1
1507,t0,0,2.9722,1,0.7234,-0.2548,0.0528,-0.31628,0.01007,0,0,0
1507,first_infeas,2,2.9722,1,2.3113,-0.1517,0.18974,0.94227,-0.03659,1,1,1
1536,t0,0,2.6102,1,0.1817,1.0,0.0,100.0,0.0,1,0,1
1549,t0,0,2.1717,1,0.3073,0.7039,1.03972,71.43246,0.01285,1,0,1
1554,t0,0,3.0663,1,1.4424,0.4532,0.72816,47.25726,0.16189,1,0,1
1557,t0,0,2.3199,1,1.3531,0.3339,0.54781,33.29108,-0.04992,1,1,1
1576,t0,0,2.6496,1,1.4033,0.3773,1.13478,36.03661,-0.19374,1,1,1
1612,t0,0,0.9311,0,0.9622,0.805,2.46376,79.72388,-0.0866,1,1,1
1637,t0,0,2.4185,1,0.2665,0.4699,0.40914,47.28172,0.01428,1,0,1
1673,t0,0,1.6581,1,0.6598,0.0042,1.84064,2.76345,0.05006,1,0,1
1696,t0,0,2.8855,1,0.8765,0.5138,2.52665,50.72123,0.00725,1,0,1
1760,t0,0,1.6964,1,1.2501,0.6621,0.40613,67.31355,-0.00148,1,1,1
1768,t0,0,0.421,0,1.2108,-0.095,0.14225,-0.41062,-0.04158,0,1,0
1768,first_infeas,10,0.421,0,0.6625,0.0819,1.69822,6.95035,-0.11176,1,1,1
1770,t0,0,1.973,1,0.7219,0.6766,3.42497,66.4854,-0.01432,1,1,1
1853,t0,0,2.995,1,0.5457,0.8241,2.23768,83.7948,0.05827,1,0,1
1886,t0,0,1.1786,0,1.2801,0.2426,4.81787,20.37518,-0.02146,1,1,1
1899,t0,0,2.8387,1,0.9897,0.4426,0.49354,45.49607,0.03196,1,0,1
1923,t0,0,2.1972,1,1.3201,0.1931,0.21223,19.92561,0.01391,1,0,1
1941,t0,0,3.0597,1,1.2436,0.2111,0.25692,22.87204,-0.12842,1,1,1
1945,t0,0,2.4114,1,1.3248,0.935,0.40163,93.93754,0.02024,1,0,1
1955,t0,0,2.5691,1,1.4127,0.0222,0.19487,3.56868,0.02595,1,0,1
1967,t0,0,1.5536,0,1.4967,0.6854,3.78661,67.68319,-0.08997,1,1,1
1971,t0,0,2.4498,1,0.5556,0.183,1.00229,21.77101,0.1594,1,0,1
1973,t0,0,2.756,1,1.0639,0.0076,1.31059,0.61619,0.23197,1,0,1
